source_number,academic_unit,transition_2026,category_code,category_name,primary_none,primary_one,primary_two,requirement_detail,double_major_none,double_major_one,reference_note,source_note
10,연기예술학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
10,연기예술학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
10,연기예술학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
11,실용음악학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,필수,,졸업공연,,필수,,
11,실용음악학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
11,실용음악학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
11,실용음악학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
12,한국어문학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,필수,,국문트랙 : 졸업논문 교육트랙 : 졸업시험,,필수,,
12,한국어문학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
12,한국어문학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
12,한국어문학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
13,글로벌경제학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,논문,,선택,,
13,글로벌경제학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,"자격증, 외국어",,선택,,
13,글로벌경제학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,"취업, 창업, ROTC임관, 대학원진학",,선택,,
13,글로벌경제학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
14,경영학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,시험,,선택,홈페이지 참고,
14,경영학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,"자격증(1개 or 3개), 외국어(1개)",,선택,"* 자격증(1개 or 2개), 외국어(1개) ※ [특이사항] 자격증 합격 요건(개수) : (표준화자격)학과별 자격 지정 현황 참고",
14,경영학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
14,경영학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
15,국제통상학과,기존·표준화 자격요건 모두 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,선택,시험,,선택,※ [특이사항] 본교 소속 유학생은 예외적으로 졸업논문으로 대체 가능,"2026학년도 : 기존자격 및 표준화 자격 모두 진행 함, 학생 선택에 따름"
15,국제통상학과,기존·표준화 자격요건 모두 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,선택,"자격증, 외국어",,선택,,
15,국제통상학과,기존·표준화 자격요건 모두 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,선택,"취업, 창업, ROTC임관",,,,
15,국제통상학과,기존·표준화 자격요건 모두 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
16,국제지역학전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,"논문, 시험",,선택,※ [특이사항] 논문은 2027학년도부터 폐지예정,
16,국제지역학전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,외국어,,선택,,
16,국제지역학전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,취업,,선택,,
16,국제지역학전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
17,중국학전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,시험,,선택,,
17,중국학전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,외국어,,선택,,
17,중국학전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,"취업, 창업, ROTC임관, 공무원",,선택,,
17,중국학전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
18,미국학전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,졸업시험,,선택,,
18,미국학전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,외국어,,선택,,
18,미국학전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,취업,,선택,,
18,미국학전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
19,공공인재법학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,논문,,선택,,
19,공공인재법학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,"자격증, 외국어",,선택,,
19,공공인재법학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,"취업(공무원), ROTC임관",,선택,,
19,공공인재법학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
20,행정정보학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,전공종합시험,,선택,,
20,행정정보학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,"자격증, 수상, 외국어(외국인)",,선택,,
